snapshot_timestamp,warehouse_id,plant_id,item_id,product_or_material_type,on_hand_quantity,reserved_quantity,available_quantity,reorder_point,safety_stock_quantity,lead_time_days,unit_cost,inventory_value,expiry_date
2026-01-15T00:00:00Z,WH-01,PLANT-01,PROD-001,product,280,24,256,105,55,5,98.75,27650.0,
2026-01-15T00:00:00Z,WH-01,PLANT-01,PROD-002,product,102,27,75,120,65,6,112.5,11475.0,
2026-01-15T00:00:00Z,WH-01,PLANT-01,PROD-003,product,204,50,154,135,75,7,126.25,25755.0,
2026-01-15T00:00:00Z,WH-01,PLANT-01,PROD-004,product,254,40,214,150,85,8,140.0,35560.0,
2026-01-15T00:00:00Z,WH-01,PLANT-01,PROD-005,product,228,58,170,165,45,9,153.75,35055.0,
2026-01-15T00:00:00Z,WH-01,PLANT-01,PROD-006,product,261,56,205,90,55,10,167.5,43717.5,
2026-01-15T00:00:00Z,WH-01,PLANT-01,PROD-007,product,253,33,220,105,65,11,181.25,45856.25,
2026-01-15T00:00:00Z,WH-01,PLANT-01,PROD-008,product,189,26,163,120,75,12,195.0,36855.0,
2026-01-15T00:00:00Z,WH-01,PLANT-01,MAT-001,steel,211,20,191,135,85,4,10.9,2299.9,
2026-01-15T00:00:00Z,WH-01,PLANT-01,MAT-002,aluminium,271,49,222,150,45,5,13.3,3604.3,
2026-01-15T00:00:00Z,WH-01,PLANT-01,MAT-003,electronics,341,37,304,165,55,6,15.7,5353.7,
2026-01-15T00:00:00Z,WH-01,PLANT-01,MAT-004,polymer,135,20,115,90,65,7,18.1,2443.5,2026-06-30
2026-01-15T00:00:00Z,WH-01,PLANT-01,MAT-005,packaging,88,19,69,105,75,8,20.5,1804.0,
2026-01-15T00:00:00Z,WH-01,PLANT-01,MAT-006,steel,158,35,123,120,85,9,22.9,3618.2,
2026-01-15T00:00:00Z,WH-01,PLANT-01,MAT-007,aluminium,312,29,283,135,45,10,25.3,7893.6,
2026-01-15T00:00:00Z,WH-01,PLANT-01,MAT-008,electronics,186,55,131,150,55,11,27.7,5152.2,
2026-01-15T00:00:00Z,WH-01,PLANT-01,MAT-009,polymer,194,46,148,165,65,12,30.1,5839.4,2026-06-30
2026-01-15T00:00:00Z,WH-01,PLANT-01,MAT-010,packaging,198,17,181,90,75,4,32.5,6435.0,
2026-01-15T00:00:00Z,WH-02,PLANT-02,PROD-001,product,125,21,104,105,55,5,98.75,12343.75,
2026-01-15T00:00:00Z,WH-02,PLANT-02,PROD-002,product,133,35,98,120,65,6,112.5,14962.5,
2026-01-15T00:00:00Z,WH-02,PLANT-02,PROD-003,product,111,22,89,135,75,7,126.25,14013.75,
2026-01-15T00:00:00Z,WH-02,PLANT-02,PROD-004,product,208,42,166,150,85,8,140.0,29120.0,
2026-01-15T00:00:00Z,WH-02,PLANT-02,PROD-005,product,266,20,246,165,45,9,153.75,40897.5,
2026-01-15T00:00:00Z,WH-02,PLANT-02,PROD-006,product,94,27,67,90,55,10,167.5,15745.0,
2026-01-15T00:00:00Z,WH-02,PLANT-02,PROD-007,product,108,32,76,105,65,11,181.25,19575.0,
2026-01-15T00:00:00Z,WH-02,PLANT-02,PROD-008,product,184,55,129,120,75,12,195.0,35880.0,
2026-01-15T00:00:00Z,WH-02,PLANT-02,MAT-001,steel,267,21,246,135,85,4,10.9,2910.3,
2026-01-15T00:00:00Z,WH-02,PLANT-02,MAT-002,aluminium,180,52,128,150,45,5,13.3,2394.0,
2026-01-15T00:00:00Z,WH-02,PLANT-02,MAT-003,electronics,322,56,266,165,55,6,15.7,5055.4,
2026-01-15T00:00:00Z,WH-02,PLANT-02,MAT-004,polymer,241,15,226,90,65,7,18.1,4362.1,2026-06-30
2026-01-15T00:00:00Z,WH-02,PLANT-02,MAT-005,packaging,275,56,219,105,75,8,20.5,5637.5,
2026-01-15T00:00:00Z,WH-02,PLANT-02,MAT-006,steel,110,20,90,120,85,9,22.9,2519.0,
2026-01-15T00:00:00Z,WH-02,PLANT-02,MAT-007,aluminium,242,53,189,135,45,10,25.3,6122.6,
2026-01-15T00:00:00Z,WH-02,PLANT-02,MAT-008,electronics,233,13,220,150,55,11,27.7,6454.1,
2026-01-15T00:00:00Z,WH-02,PLANT-02,MAT-009,polymer,120,19,101,165,65,12,30.1,3612.0,2026-06-30
2026-01-15T00:00:00Z,WH-02,PLANT-02,MAT-010,packaging,263,71,192,90,75,4,32.5,8547.5,
2026-01-15T00:00:00Z,WH-03,PLANT-03,PROD-001,product,185,29,156,105,55,5,98.75,18268.75,
2026-01-15T00:00:00Z,WH-03,PLANT-03,PROD-002,product,119,20,99,120,65,6,112.5,13387.5,
2026-01-15T00:00:00Z,WH-03,PLANT-03,PROD-003,product,115,28,87,135,75,7,126.25,14518.75,
2026-01-15T00:00:00Z,WH-03,PLANT-03,PROD-004,product,163,21,142,150,85,8,140.0,22820.0,
2026-01-15T00:00:00Z,WH-03,PLANT-03,PROD-005,product,329,83,246,165,45,9,153.75,50583.75,
2026-01-15T00:00:00Z,WH-03,PLANT-03,PROD-006,product,269,14,255,90,55,10,167.5,45057.5,
2026-01-15T00:00:00Z,WH-03,PLANT-03,PROD-007,product,201,35,166,105,65,11,181.25,36431.25,
2026-01-15T00:00:00Z,WH-03,PLANT-03,PROD-008,product,146,47,99,120,75,12,195.0,28470.0,
2026-01-15T00:00:00Z,WH-03,PLANT-03,MAT-001,steel,180,61,119,135,85,4,10.9,1962.0,
2026-01-15T00:00:00Z,WH-03,PLANT-03,MAT-002,aluminium,135,47,88,150,45,5,13.3,1795.5,
2026-01-15T00:00:00Z,WH-03,PLANT-03,MAT-003,electronics,163,11,152,165,55,6,15.7,2559.1,
2026-01-15T00:00:00Z,WH-03,PLANT-03,MAT-004,polymer,79,11,68,90,65,7,18.1,1429.9,2026-06-30
2026-01-15T00:00:00Z,WH-03,PLANT-03,MAT-005,packaging,100,33,67,105,75,8,20.5,2050.0,
2026-01-15T00:00:00Z,WH-03,PLANT-03,MAT-006,steel,278,28,250,120,85,9,22.9,6366.2,
2026-01-15T00:00:00Z,WH-03,PLANT-03,MAT-007,aluminium,182,17,165,135,45,10,25.3,4604.6,
2026-01-15T00:00:00Z,WH-03,PLANT-03,MAT-008,electronics,232,20,212,150,55,11,27.7,6426.4,
2026-01-15T00:00:00Z,WH-03,PLANT-03,MAT-009,polymer,267,31,236,165,65,12,30.1,8036.7,2026-06-30
2026-01-15T00:00:00Z,WH-03,PLANT-03,MAT-010,packaging,94,10,84,90,75,4,32.5,3055.0,
2026-01-15T00:00:00Z,WH-04,PLANT-01,PROD-001,product,184,10,174,105,55,5,98.75,18170.0,
2026-01-15T00:00:00Z,WH-04,PLANT-01,PROD-002,product,290,60,230,120,65,6,112.5,32625.0,
2026-01-15T00:00:00Z,WH-04,PLANT-01,PROD-003,product,170,31,139,135,75,7,126.25,21462.5,
2026-01-15T00:00:00Z,WH-04,PLANT-01,PROD-004,product,150,13,137,150,85,8,140.0,21000.0,
2026-01-15T00:00:00Z,WH-04,PLANT-01,PROD-005,product,294,24,270,165,45,9,153.75,45202.5,
2026-01-15T00:00:00Z,WH-04,PLANT-01,PROD-006,product,127,25,102,90,55,10,167.5,21272.5,
2026-01-15T00:00:00Z,WH-04,PLANT-01,PROD-007,product,79,20,59,105,65,11,181.25,14318.75,
2026-01-15T00:00:00Z,WH-04,PLANT-01,PROD-008,product,243,60,183,120,75,12,195.0,47385.0,
2026-01-15T00:00:00Z,WH-04,PLANT-01,MAT-001,steel,241,71,170,135,85,4,10.9,2626.9,
2026-01-15T00:00:00Z,WH-04,PLANT-01,MAT-002,aluminium,258,55,203,150,45,5,13.3,3431.4,
2026-01-15T00:00:00Z,WH-04,PLANT-01,MAT-003,electronics,291,14,277,165,55,6,15.7,4568.7,
2026-01-15T00:00:00Z,WH-04,PLANT-01,MAT-004,polymer,190,51,139,90,65,7,18.1,3439.0,2026-06-30
2026-01-15T00:00:00Z,WH-04,PLANT-01,MAT-005,packaging,240,20,220,105,75,8,20.5,4920.0,
2026-01-15T00:00:00Z,WH-04,PLANT-01,MAT-006,steel,275,23,252,120,85,9,22.9,6297.5,
2026-01-15T00:00:00Z,WH-04,PLANT-01,MAT-007,aluminium,308,77,231,135,45,10,25.3,7792.4,
2026-01-15T00:00:00Z,WH-04,PLANT-01,MAT-008,electronics,116,27,89,150,55,11,27.7,3213.2,
2026-01-15T00:00:00Z,WH-04,PLANT-01,MAT-009,polymer,344,74,270,165,65,12,30.1,10354.4,2026-06-30
2026-01-15T00:00:00Z,WH-04,PLANT-01,MAT-010,packaging,163,21,142,90,75,4,32.5,5297.5,
