machine_id,machine_name,synthetic_data_flag
MACH-01-01-01,MACH-01-01-01,True
MACH-01-01-02,MACH-01-01-02,True
MACH-01-01-03,MACH-01-01-03,True
MACH-01-02-01,MACH-01-02-01,True
MACH-01-02-02,MACH-01-02-02,True
MACH-01-02-03,MACH-01-02-03,True
MACH-02-01-01,MACH-02-01-01,True
MACH-02-01-02,MACH-02-01-02,True
MACH-02-01-03,MACH-02-01-03,True
MACH-02-02-01,MACH-02-02-01,True
MACH-02-02-02,MACH-02-02-02,True
MACH-02-02-03,MACH-02-02-03,True
MACH-03-01-01,MACH-03-01-01,True
MACH-03-01-02,MACH-03-01-02,True
MACH-03-01-03,MACH-03-01-03,True
MACH-03-02-01,MACH-03-02-01,True
MACH-03-02-02,MACH-03-02-02,True
MACH-03-02-03,MACH-03-02-03,True
