model,forecast_origin,horizon_day,mae,rmse,wape,smape,bias,absolute_bias,row_count
linear_regression,2026-01-08,1,75.293052,130.592753,0.467659,0.222184,73.121115,73.121115,8
linear_regression,2026-01-08,2,236.515579,249.788655,1.333421,1.282307,236.515579,236.515579,8
linear_regression,2026-01-08,3,263.560267,313.607405,1.603408,1.395672,263.560267,263.560267,8
linear_regression,2026-01-08,4,262.177746,291.734484,1.300324,1.282911,262.177746,262.177746,8
linear_regression,2026-01-08,5,321.724984,363.788408,1.759262,1.375920,321.724984,321.724984,8
linear_regression,2026-01-08,6,396.215590,412.013924,2.545964,1.418340,396.215590,396.215590,8
moving_average,2026-01-08,1,200.535714,221.701905,1.245563,1.351956,19.678571,19.678571,8
moving_average,2026-01-08,2,142.625000,151.332778,0.804087,1.237129,3.303571,3.303571,8
moving_average,2026-01-08,3,199.125000,224.711646,1.211407,1.329227,16.303571,16.303571,8
moving_average,2026-01-08,4,166.875000,185.857287,0.827650,1.283988,-20.946429,20.946429,8
moving_average,2026-01-08,5,217.625000,223.501604,1.190021,1.425694,-2.196429,2.196429,8
moving_average,2026-01-08,6,129.660714,136.782031,0.833161,1.207792,25.053571,25.053571,8
random_forest,2026-01-08,1,55.262609,101.810312,0.343246,0.181817,4.500094,4.500094,8
random_forest,2026-01-08,2,14.833714,30.206771,0.083629,0.045559,5.754578,5.754578,8
random_forest,2026-01-08,3,62.159670,89.947657,0.378158,0.203543,9.227159,9.227159,8
random_forest,2026-01-08,4,60.040878,95.207900,0.297785,0.150510,-23.444653,23.444653,8
random_forest,2026-01-08,5,36.540347,59.297677,0.199811,0.100726,-0.600942,0.600942,8
random_forest,2026-01-08,6,37.719601,75.728088,0.242375,0.120211,23.966202,23.966202,8
seasonal_naive,2026-01-08,1,358.125000,374.478471,2.224379,2.000000,36.125000,36.125000,8
seasonal_naive,2026-01-08,2,350.000000,364.752656,1.973221,2.000000,-4.750000,4.750000,8
seasonal_naive,2026-01-08,3,345.625000,360.040796,2.102662,2.000000,16.875000,16.875000,8
seasonal_naive,2026-01-08,4,391.875000,400.043904,1.943583,2.000000,-11.375000,11.375000,8
seasonal_naive,2026-01-08,5,371.375000,383.022356,2.030759,2.000000,5.625000,5.625000,8
seasonal_naive,2026-01-08,6,303.500000,310.410212,1.950201,2.000000,-7.750000,7.750000,8
