sensor_event_id,event_timestamp,machine_id,sensor_type,measurement_unit,degradation_status,degradation_slope,degradation_score,degradation_signal_flag,degradation_reason
EH-000477,2026-01-14 02:00:00+00:00,MACH-01-02-02,vibration,mm_s,calculated,0.665179,97.982143,True,sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach
EH-000424,2026-01-12 12:00:00+00:00,MACH-03-01-02,temperature,celsius,calculated,2.758821,98.105857,True,sensor_trend_moving_toward_risk; recent_critical_breach
EH-000371,2026-01-11 02:00:00+00:00,MACH-01-02-03,vibration,mm_s,calculated,0.569821,96.837857,True,sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach
EH-000318,2026-01-09 12:00:00+00:00,MACH-03-01-03,temperature,celsius,calculated,2.526357,95.316286,True,sensor_trend_moving_toward_risk; recent_critical_breach
EH-000212,2026-01-06 12:00:00+00:00,MACH-03-02-01,temperature,celsius,calculated,3.815914,100.000000,True,sensor_trend_moving_toward_risk; recent_critical_breach
EH-000265,2026-01-08 02:00:00+00:00,MACH-02-01-01,vibration,mm_s,calculated,0.095536,66.146429,True,sensor_trend_moving_toward_risk; recent_critical_breach
EH-000159,2026-01-05 02:00:00+00:00,MACH-02-01-02,vibration,mm_s,calculated,0.611700,72.340400,True,sensor_trend_moving_toward_risk; recent_critical_breach
EH-000337,2026-01-10 02:00:00+00:00,MACH-02-01-01,vibration,mm_s,calculated,0.519536,92.848429,True,sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach
EH-000301,2026-01-09 02:00:00+00:00,MACH-02-01-01,vibration,mm_s,calculated,0.326964,91.921571,True,sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach
EH-000433,2026-01-13 02:00:00+00:00,MACH-01-01-01,vibration,mm_s,calculated,0.254714,46.176571,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000441,2026-01-13 02:00:00+00:00,MACH-01-02-02,vibration,mm_s,calculated,0.337214,46.942571,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000503,2026-01-14 02:00:00+00:00,MACH-03-02-03,vibration,mm_s,calculated,-0.032821,41.964000,True,repeated_warning_breaches
EH-000487,2026-01-14 02:00:00+00:00,MACH-02-02-01,vibration,mm_s,calculated,0.370214,47.692571,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000437,2026-01-13 02:00:00+00:00,MACH-01-01-03,vibration,mm_s,calculated,0.254107,44.807286,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000401,2026-01-12 02:00:00+00:00,MACH-01-01-03,vibration,mm_s,calculated,0.400321,46.905857,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000445,2026-01-13 02:00:00+00:00,MACH-02-01-01,vibration,mm_s,calculated,-0.091893,43.062000,True,repeated_warning_breaches
EH-000419,2026-01-12 02:00:00+00:00,MACH-02-02-03,vibration,mm_s,calculated,0.196214,44.730571,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000417,2026-01-12 02:00:00+00:00,MACH-02-02-02,vibration,mm_s,calculated,0.230250,44.767000,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000397,2026-01-12 02:00:00+00:00,MACH-01-01-01,vibration,mm_s,calculated,0.066429,42.099143,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
