critical_threshold,degradation_index,line_id,machine_id,maintenance_state,measurement,measurement_unit,operating_mode,plant_id,runtime_hours,sensor_event_id,sensor_id,sensor_type,service_hours_since_maintenance,threshold_status,timestamp,warning_threshold,event_timestamp,event_date,production_line_id,sensor_value,source_threshold_status,distance_from_warning_threshold,distance_from_critical_threshold,normalised_distance_to_nearest_threshold,warning_breach_flag,critical_breach_flag,near_warning_flag,near_critical_flag,near_threshold_flag,calculated_threshold_status,threshold_consistency_flag,threshold_breach_direction,threshold_margin_percentage,threshold_breach_component_score,recent_downtime_minutes,recent_produced_quantity,recent_rejected_quantity,recent_production_event_count,recent_reject_rate,quality_check_count_for_machine,quality_failure_count_for_machine,quality_alert_count_for_machine,service_interval_proxy_hours,service_overdue_indicator,utilisation_intensity,rolling_mean_3,rolling_max_3,rolling_std_3,rolling_mean_7,rolling_max_7,rolling_std_7,degradation_slope,degradation_status,degradation_signal_flag,degradation_score,degradation_reason,robust_zscore,robust_zscore_abs,robust_zscore_threshold,robust_zscore_anomaly_flag,robust_zscore_status,robust_zscore_score_0_100,isolation_forest_score,isolation_forest_score_0_100,isolation_forest_anomaly_flag,isolation_forest_status,isolation_forest_contamination,isolation_forest_score_interpretation,combined_anomaly_flag,anomaly_score_0_100,maintenance_run_id,near_threshold_component_score,anomaly_component_score,runtime_risk_score,maintenance_state_risk_score,production_context_score,quality_context_score,failure_risk_score,equipment_health_score,risk_level,maintenance_priority,risk_level_sort,recommended_action,recommendation_reason,synthetic_data_flag
8,1.000000,LINE-01-02,MACH-01-02-02,critical_inspection_required,8.816000,mm_s,standby,PLANT-01,208.840000,EH-000477,SENS-MACH-01-02-02-VIBRATION,vibration,237,critical,2026-01-14 02:00:00+00:00,6.500000,2026-01-14 02:00:00+00:00,2026-01-14,LINE-01-02,8.816000,critical,-2.316000,-0.816000,0.544000,False,True,False,False,False,critical,True,above_upper_threshold,-35.630769,100.000000,50.000000,182.000000,7.000000,2.000000,0.038462,28,0,2,120.000000,True,0.960096,7.577667,8.816000,0.890656,6.223571,8.816000,1.435545,0.665179,calculated,True,97.982143,sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,94.734299,100.000000,51.282051,40.000000,76.370676,23.629324,high,high,1,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach; runtime/service proxy is elevated,True
90,1.000000,LINE-03-01,MACH-03-01-02,critical_inspection_required,91.340000,celsius,production,PLANT-03,184.620000,EH-000424,SENS-MACH-03-01-02-TEMPERATURE,temperature,228,critical,2026-01-12 12:00:00+00:00,78.000000,2026-01-12 12:00:00+00:00,2026-01-12,LINE-03-01,91.340000,critical,-13.340000,-1.340000,0.111667,False,True,False,False,False,critical,True,above_upper_threshold,-17.102564,100.000000,50.000000,170.000000,4.000000,2.000000,0.023529,28,0,5,120.000000,True,0.848750,73.094333,91.340000,12.901637,68.536857,91.340000,9.371391,2.758821,calculated,True,98.105857,sensor_trend_moving_toward_risk; recent_critical_breach,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,88.515758,100.000000,47.549020,100.000000,75.275986,24.724014,high,high,1,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; recent_critical_breach; runtime/service proxy is elevated,True
8,1.000000,LINE-01-02,MACH-01-02-03,critical_inspection_required,9.233000,mm_s,standby,PLANT-01,161.630000,EH-000371,SENS-MACH-01-02-03-VIBRATION,vibration,214,critical,2026-01-11 02:00:00+00:00,6.500000,2026-01-11 02:00:00+00:00,2026-01-11,LINE-01-02,9.233000,critical,-2.733000,-1.233000,0.822000,False,True,False,False,False,critical,True,above_upper_threshold,-42.046154,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,120.000000,True,0.743058,7.341667,9.233000,1.504480,6.522429,9.233000,1.408745,0.569821,calculated,True,96.837857,sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,81.205447,100.000000,0.000000,0.000000,71.548388,28.451612,high,high,1,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach; runtime/service proxy is elevated,True
90,1.000000,LINE-03-01,MACH-03-01-03,critical_inspection_required,90.317000,celsius,production,PLANT-03,136.050000,EH-000318,SENS-MACH-03-01-03-TEMPERATURE,temperature,188,critical,2026-01-09 12:00:00+00:00,78.000000,2026-01-09 12:00:00+00:00,2026-01-09,LINE-03-01,90.317000,critical,-12.317000,-0.317000,0.026417,False,True,False,False,False,critical,True,above_upper_threshold,-15.791026,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,120.000000,True,0.625460,73.578000,90.317000,11.891291,69.115857,90.317000,8.707356,2.526357,calculated,True,95.316286,sensor_trend_moving_toward_risk; recent_critical_breach,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,70.383154,100.000000,0.000000,0.000000,69.620730,30.379270,high,high,1,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; recent_critical_breach; runtime/service proxy is elevated,True
90,1.000000,LINE-03-02,MACH-03-02-01,critical_inspection_required,90.930000,celsius,production,PLANT-03,89.840000,EH-000212,SENS-MACH-03-02-01-TEMPERATURE,temperature,148,critical,2026-01-06 12:00:00+00:00,78.000000,2026-01-06 12:00:00+00:00,2026-01-06,LINE-03-02,90.930000,critical,-12.930000,-0.930000,0.077500,False,True,False,False,False,critical,True,above_upper_threshold,-16.576923,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,120.000000,True,0.413019,73.955333,90.930000,12.030309,69.637500,90.930000,9.549167,3.815914,calculated,True,100.000000,sensor_trend_moving_toward_risk; recent_critical_breach,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,52.630285,100.000000,0.000000,0.000000,67.894543,32.105457,high,high,1,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; recent_critical_breach,True
8,1.000000,LINE-02-01,MACH-02-01-01,critical_inspection_required,8.501000,mm_s,standby,PLANT-02,113.930000,EH-000265,SENS-MACH-02-01-01-VIBRATION,vibration,174,critical,2026-01-08 02:00:00+00:00,6.500000,2026-01-08 02:00:00+00:00,2026-01-08,LINE-02-01,8.501000,critical,-2.001000,-0.501000,0.334000,False,True,False,False,False,critical,True,above_upper_threshold,-30.784615,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,120.000000,True,0.523768,6.515000,8.501000,1.624427,6.229286,8.501000,1.427923,0.095536,calculated,True,66.146429,sensor_trend_moving_toward_risk; recent_critical_breach,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,63.212830,100.000000,0.000000,0.000000,62.711210,37.288790,high,high,1,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; recent_critical_breach,True
8,1.000000,LINE-02-01,MACH-02-01-02,critical_inspection_required,8.939000,mm_s,standby,PLANT-02,65.670000,EH-000159,SENS-MACH-02-01-02-VIBRATION,vibration,134,critical,2026-01-05 02:00:00+00:00,6.500000,2026-01-05 02:00:00+00:00,2026-01-05,LINE-02-01,8.939000,critical,-2.439000,-0.939000,0.626000,False,True,False,False,False,critical,True,above_upper_threshold,-37.523077,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,120.000000,True,0.301903,6.598000,8.939000,1.656577,6.127800,8.939000,1.542006,0.611700,calculated,True,72.340400,sensor_trend_moving_toward_risk; recent_critical_breach,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,45.130107,100.000000,0.000000,0.000000,61.237596,38.762404,high,high,1,prioritise_non_binding_maintenance_review,sensor value breached critical threshold; degradation signal: sensor_trend_moving_toward_risk; recent_critical_breach,True
8,0.830700,LINE-02-01,MACH-02-01-01,warning_monitor,6.646000,mm_s,standby,PLANT-02,144.310000,EH-000337,SENS-MACH-02-01-01-VIBRATION,vibration,202,warning,2026-01-10 02:00:00+00:00,6.500000,2026-01-10 02:00:00+00:00,2026-01-10,LINE-02-01,6.646000,warning,-0.146000,1.354000,0.097333,True,False,False,False,False,warning,True,above_upper_threshold,-2.246154,70.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,120.000000,True,0.663433,7.448667,8.501000,0.777606,6.149143,8.501000,1.385250,0.519536,calculated,True,92.848429,sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,75.323338,60.000000,0.000000,0.000000,56.868186,43.131814,medium,medium,2,review_sensor_threshold_breach,sensor value breached warning threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach; runtime/service proxy is elevated,True
8,0.899900,LINE-02-01,MACH-02-01-01,warning_monitor,7.199000,mm_s,standby,PLANT-02,128.820000,EH-000301,SENS-MACH-02-01-01-VIBRATION,vibration,188,warning,2026-01-09 02:00:00+00:00,6.500000,2026-01-09 02:00:00+00:00,2026-01-09,LINE-02-01,7.199000,warning,-0.699000,0.801000,0.466000,True,False,False,False,False,warning,True,above_upper_threshold,-10.753846,70.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,120.000000,True,0.592221,7.407333,8.501000,0.821244,6.240286,8.501000,1.435036,0.326964,calculated,True,91.921571,sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,69.219813,60.000000,0.000000,0.000000,55.767286,44.232714,medium,medium,2,review_sensor_threshold_breach,sensor value breached warning threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach,True
8,0.906000,LINE-01-01,MACH-01-01-01,warning_monitor,7.248000,mm_s,standby,PLANT-01,192.810000,EH-000433,SENS-MACH-01-01-01-VIBRATION,vibration,232,warning,2026-01-13 02:00:00+00:00,6.500000,2026-01-13 02:00:00+00:00,2026-01-13,LINE-01-01,7.248000,warning,-0.748000,0.752000,0.498667,True,False,False,False,False,warning,True,above_upper_threshold,-11.507692,70.000000,45.000000,209.000000,11.000000,2.000000,0.052632,28,2,3,120.000000,True,0.886401,6.436667,7.248000,0.699427,6.038000,7.248000,0.889281,0.254714,calculated,True,46.176571,sensor_trend_moving_toward_risk; repeated_warning_breaches,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,90.865314,60.000000,50.657895,60.000000,52.398006,47.601994,medium,medium,2,review_sensor_threshold_breach,sensor value breached warning threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; runtime/service proxy is elevated,True
