domain,artifact,path,exists,expected_row_count,actual_row_count,expected_file_size_bytes,actual_file_size_bytes,expected_sha256,actual_sha256,integrity_status
forecasting,backtest_metrics,outputs/forecasting/backtest_metrics.csv,True,24.000000,24.000000,2242,2242,fbfbdeb283bde13c9f598a25f5d8254fd862210bfcffeb42e9a568cfcc166c95,fbfbdeb283bde13c9f598a25f5d8254fd862210bfcffeb42e9a568cfcc166c95,passed
forecasting,backtest_predictions,outputs/forecasting/backtest_predictions.csv,True,192.000000,192.000000,19204,19204,e22184bd2b227bb1e40b8f35207cdba76b9b3710a20d1918053c1eac0b273d42,e22184bd2b227bb1e40b8f35207cdba76b9b3710a20d1918053c1eac0b273d42,passed
forecasting,daily_demand_series,outputs/forecasting/daily_demand_series.csv,True,112.000000,112.000000,6717,6717,e25239f887d8f6fd2296c11178c52d769ff6ed65f427b621674b51b409cb7b6f,e25239f887d8f6fd2296c11178c52d769ff6ed65f427b621674b51b409cb7b6f,passed
forecasting,demand_forecast,outputs/demand_forecast.csv,True,56.000000,56.000000,9670,9670,44c8bc06fa4791868aeeb33e6fd2edfa02e797d52c475bc69e803b017bdb99d8,44c8bc06fa4791868aeeb33e6fd2edfa02e797d52c475bc69e803b017bdb99d8,passed
forecasting,feature_dataset,outputs/forecasting/feature_dataset.csv,True,112.000000,112.000000,16010,16010,0a2a38473223bd91331996a81839e773fffc2693375f4462be2eebe681c40e78,0a2a38473223bd91331996a81839e773fffc2693375f4462be2eebe681c40e78,passed
forecasting,forecast_diagnostics,outputs/forecasting/forecast_diagnostics.json,True,,,5022,5022,4acb764ef6ea2a48aaaa57015177806da3cd5ae4bf3e3e3fe732f0ad10caafcc,4acb764ef6ea2a48aaaa57015177806da3cd5ae4bf3e3e3fe732f0ad10caafcc,passed
forecasting,model_comparison,outputs/forecasting/model_comparison.csv,True,4.000000,4.000000,417,417,c43139365edfbe4c3bc0cce725395b3da46b62d2617b5364bd8ffb7b85d87d1c,c43139365edfbe4c3bc0cce725395b3da46b62d2617b5364bd8ffb7b85d87d1c,passed
forecasting,model_metadata,outputs/forecasting/model_metadata.json,True,,,1917,1917,f6fd6a5c2eafd91a07a4e2e3879e77c358b8ea0341049817a0c09141c58ac8e0,f6fd6a5c2eafd91a07a4e2e3879e77c358b8ea0341049817a0c09141c58ac8e0,passed
forecasting,split_metadata,outputs/forecasting/split_metadata.json,True,,,257,257,c6a3f7695d4a9675746d62d605d3085f7f214b2d9c0309ae9711b2ca4f73cc59,c6a3f7695d4a9675746d62d605d3085f7f214b2d9c0309ae9711b2ca4f73cc59,passed
forecasting,test_metrics,outputs/forecasting/test_metrics.csv,True,1.000000,1.000000,127,127,a2ad8381e2bc89d5a6917fbcaafee94ee7a4df5747ead46c5f4cf5fb6183736f,a2ad8381e2bc89d5a6917fbcaafee94ee7a4df5747ead46c5f4cf5fb6183736f,passed
