inspection_id,robust_zscore,robust_zscore_abs,robust_zscore_threshold,robust_zscore_anomaly_flag,robust_zscore_status,robust_zscore_score_0_100,isolation_forest_score,isolation_forest_score_0_100,isolation_forest_anomaly_flag,isolation_forest_status,isolation_forest_contamination,isolation_forest_score_interpretation,combined_anomaly_flag,anomaly_score_0_100
QC-000001-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.184622,79.236031,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,79.236031
QC-000002-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.076857,51.173084,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,51.173084
QC-000003-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.210062,82.268244,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,82.268244
QC-000004-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.091221,39.469406,True,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,True,39.469406
QC-000005-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.091093,62.938007,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,62.938007
QC-000006-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.132324,69.431979,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,69.431979
QC-000007-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.190454,81.739175,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,81.739175
QC-000008-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.077405,51.537441,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,51.537441
QC-000009-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.168847,66.126862,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,66.126862
QC-000010-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.116838,50.553295,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,50.553295
QC-000011-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.104659,72.311382,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,72.311382
QC-000012-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.183786,96.434697,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,96.434697
QC-000013-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.175815,75.456496,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,75.456496
QC-000014-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.028407,18.914136,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,18.914136
QC-000015-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.211807,82.951483,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,82.951483
QC-000016-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.202342,87.549327,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,87.549327
QC-000017-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.076273,52.698650,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,52.698650
QC-000018-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.156085,81.899597,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,81.899597
QC-000019-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.097254,41.739682,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,41.739682
QC-000020-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.014214,9.464232,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,9.464232
QC-000021-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.174005,68.146783,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,68.146783
QC-000022-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.205030,88.712210,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,88.712210
QC-000023-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.127960,88.410897,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,88.410897
QC-000024-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.186069,97.632498,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,97.632498
QC-000025-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.149063,63.974807,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,63.974807
QC-000026-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.051185,34.080095,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,34.080095
QC-000027-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.230670,90.338892,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,90.338892
QC-000028-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.183635,79.455284,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,79.455284
QC-000029-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.054405,37.589969,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,37.589969
QC-000030-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.161536,84.759864,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,84.759864
QC-000031-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.203104,87.168076,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,87.168076
QC-000032-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.005713,3.803849,True,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,True,3.803849
QC-000033-1,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.017240,6.751860,True,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,True,6.751860
