inspection_id,inspection_timestamp,plant_id,line_id,machine_id,batch_id,product_id,quality_metric,sample_size,defective_units,measured_value,lower_specification_limit,upper_specification_limit,inspection_result,defect_category,severity,inspection_date,production_line_id,measurement_unit,specification_center,specification_range,distance_from_lower_limit,distance_from_upper_limit,normalised_distance_to_nearest_limit,within_specification_flag,below_lower_limit_flag,above_upper_limit_flag,near_limit_flag,warning_limit_flag,specification_failure_direction,specification_margin_percentage,source_inspection_result,calculated_specification_result,specification_consistency_flag,defective_unit_rate,event_id,event_timestamp,produced_quantity,accepted_quantity,rejected_quantity,cycle_time_seconds,target_cycle_time_seconds,downtime_duration_minutes,operating_status,production_yield,first_pass_yield_proxy,first_pass_yield_method,scrap_rate,cycle_time_ratio,baseline_observation_count,center_line,process_standard_deviation,upper_control_limit,lower_control_limit,point_deviation_from_center,outside_control_limit_flag,baseline_method,control_chart_status,spc_rule_codes,spc_signal_flag,spc_triggering_window,spc_evaluation_status,robust_zscore,robust_zscore_abs,robust_zscore_threshold,robust_zscore_anomaly_flag,robust_zscore_status,robust_zscore_score_0_100,isolation_forest_score,isolation_forest_score_0_100,isolation_forest_anomaly_flag,isolation_forest_status,isolation_forest_contamination,isolation_forest_score_interpretation,combined_anomaly_flag,anomaly_score_0_100,quality_run_id,synthetic_data_flag,specification_failure_component_score,near_limit_component_score,spc_signal_component_score,anomaly_component_score,defect_severity_component_score,defective_unit_rate_component_score,recurrence_component_score,quality_risk_score,risk_level,investigation_priority,risk_level_sort,recommended_action,recommendation_reason
QC-000153-1,2026-01-13 14:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,BATCH-PO-20260113-LINE0201-2,PROD-006,diameter_mm,20,3,12.443000,9.500000,10.500000,fail,dimensional_variance,high,2026-01-13,LINE-02-01,mm,10.000000,1.000000,2.943000,-1.943000,1.943000,False,False,True,False,False,above_upper_limit,194.300000,fail,fail,True,0.150000,PE-000153,2026-01-13 14:00:00+00:00,99,96,3,49.110000,48,25,degraded,0.969697,0.969697,accepted_quantity_over_produced_quantity_proxy,0.030303,1.023125,25,9.841240,0.670488,11.852705,7.829775,2.601760,True,expanding_prior_observations,calculated,SPC_RULE_1,True,QC-000153-1,calculated,5.125781,5.125781,3.500000,True,calculated,100.000000,0.006011,2.354317,True,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,True,100.000000,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,100.000000,100.000000,85.000000,15.000000,100.000000,97.750000,critical,critical,0,investigate_specification_failure,measurement is outside specification limits; SPC rules triggered: SPC_RULE_1; deterministic anomaly score exceeded configured threshold
QC-000138-1,2026-01-12 06:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,BATCH-PO-20260112-LINE0302-1,PROD-006,diameter_mm,20,3,7.901000,9.500000,10.500000,fail,dimensional_variance,high,2026-01-12,LINE-03-02,mm,10.000000,1.000000,-1.599000,2.599000,1.599000,False,True,False,False,False,below_lower_limit,159.900000,fail,fail,True,0.150000,PE-000138,2026-01-12 06:00:00+00:00,80,79,1,54.710000,48,40,degraded,0.987500,0.987500,accepted_quantity_over_produced_quantity_proxy,0.012500,1.139792,22,10.121318,0.537536,11.733927,8.508710,-2.220318,True,expanding_prior_observations,calculated,SPC_RULE_1,True,QC-000138-1,calculated,-3.334114,3.334114,3.500000,False,calculated,95.260395,0.079723,41.831801,True,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,True,95.260395,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,100.000000,95.260395,85.000000,15.000000,100.000000,96.802079,critical,critical,0,investigate_specification_failure,measurement is outside specification limits; SPC rules triggered: SPC_RULE_1; deterministic anomaly score exceeded configured threshold
QC-000103-1,2026-01-09 14:00:00+00:00,PLANT-01,LINE-01-01,MACH-01-01-01,BATCH-PO-20260109-LINE0101-2,PROD-008,surface_finish_ra,20,1,2.428000,0.200000,1.600000,fail,surface_finish,high,2026-01-09,LINE-01-01,ra,0.900000,1.400000,2.228000,-0.828000,0.591429,False,False,True,False,False,above_upper_limit,59.142857,fail,fail,True,0.050000,PE-000103,2026-01-09 14:00:00+00:00,108,107,1,62.390000,60,25,degraded,0.990741,0.990741,accepted_quantity_over_produced_quantity_proxy,0.009259,1.039833,17,0.881706,0.334938,1.886520,-0.123108,1.546294,True,expanding_prior_observations,calculated,SPC_RULE_1,True,QC-000103-1,calculated,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.096442,41.391131,True,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,True,41.391131,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,100.000000,41.391131,85.000000,5.000000,20.000000,86.028226,critical,critical,0,investigate_specification_failure,measurement is outside specification limits; SPC rules triggered: SPC_RULE_1; deterministic anomaly score exceeded configured threshold
QC-000066-1,2026-01-06 06:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,BATCH-PO-20260106-LINE0302-1,PROD-008,diameter_mm,20,2,11.725000,9.500000,10.500000,fail,dimensional_variance,high,2026-01-06,LINE-03-02,mm,10.000000,1.000000,2.225000,-1.225000,1.225000,False,False,True,False,False,above_upper_limit,122.500000,fail,fail,True,0.100000,PE-000066,2026-01-06 06:00:00+00:00,100,95,5,66.600000,60,5,running,0.950000,0.950000,accepted_quantity_over_produced_quantity_proxy,0.050000,1.110000,10,10.046000,0.398400,11.241200,8.850800,1.679000,True,expanding_prior_observations,calculated,SPC_RULE_1,True,QC-000066-1,calculated,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.029664,15.565122,True,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,True,15.565122,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,100.000000,15.565122,85.000000,10.000000,80.000000,80.863024,critical,critical,0,investigate_specification_failure,measurement is outside specification limits; SPC rules triggered: SPC_RULE_1; deterministic anomaly score exceeded configured threshold
QC-000123-1,2026-01-11 06:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,BATCH-PO-20260111-LINE0201-1,PROD-006,diameter_mm,20,3,8.274000,9.500000,10.500000,fail,dimensional_variance,high,2026-01-11,LINE-02-01,mm,10.000000,1.000000,-1.226000,2.226000,1.226000,False,True,False,False,False,below_lower_limit,122.600000,fail,fail,True,0.150000,PE-000123,2026-01-11 06:00:00+00:00,105,97,8,44.910000,48,40,degraded,0.923810,0.923810,accepted_quantity_over_produced_quantity_proxy,0.076190,0.935625,20,9.838700,0.621327,11.702681,7.974719,-1.564700,False,expanding_prior_observations,calculated,,False,,calculated,-3.962114,3.962114,3.500000,True,calculated,100.000000,-0.011164,4.372303,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,True,100.000000,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,100.000000,85.000000,15.000000,100.000000,72.750000,high,high,1,investigate_specification_failure,measurement is outside specification limits; deterministic anomaly score exceeded configured threshold
QC-000006-1,2026-01-01 06:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,BATCH-PO-20260101-LINE0302-1,PROD-007,diameter_mm,20,2,9.451000,9.500000,10.500000,fail,dimensional_variance,medium,2026-01-01,LINE-03-02,mm,10.000000,1.000000,-0.049000,1.049000,0.049000,False,True,False,False,False,below_lower_limit,4.900000,fail,fail,True,0.100000,PE-000006,2026-01-01 06:00:00+00:00,83,78,5,59.470000,54,25,degraded,0.939759,0.939759,accepted_quantity_over_produced_quantity_proxy,0.060241,1.101296,0,,,,,,False,expanding_prior_observations,insufficient_history,,False,,insufficient_history,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.132324,69.431979,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,69.431979,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,69.431979,50.000000,10.000000,20.000000,61.386396,high,high,1,investigate_specification_failure,measurement is outside specification limits
QC-000042-1,2026-01-04 06:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,BATCH-PO-20260104-LINE0302-1,PROD-006,diameter_mm,20,2,10.573000,9.500000,10.500000,fail,dimensional_variance,medium,2026-01-04,LINE-03-02,mm,10.000000,1.000000,1.073000,-0.073000,0.073000,False,False,True,False,False,above_upper_limit,7.300000,fail,fail,True,0.100000,PE-000042,2026-01-04 06:00:00+00:00,80,75,5,51.840000,48,25,degraded,0.937500,0.937500,accepted_quantity_over_produced_quantity_proxy,0.062500,1.080000,6,,,,,,False,expanding_prior_observations,insufficient_history,,False,,insufficient_history,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.129982,68.202875,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,68.202875,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,68.202875,50.000000,10.000000,40.000000,61.140575,high,high,1,investigate_specification_failure,measurement is outside specification limits
QC-000021-1,2026-01-02 14:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,BATCH-PO-20260102-LINE0201-2,PROD-007,diameter_mm,20,1,9.490000,9.500000,10.500000,fail,dimensional_variance,medium,2026-01-02,LINE-02-01,mm,10.000000,1.000000,-0.010000,1.010000,0.010000,False,True,False,False,False,below_lower_limit,1.000000,fail,fail,True,0.050000,PE-000021,2026-01-02 14:00:00+00:00,111,108,3,61.950000,54,0,running,0.972973,0.972973,accepted_quantity_over_produced_quantity_proxy,0.027027,1.147222,3,,,,,,False,expanding_prior_observations,insufficient_history,,False,,insufficient_history,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.174005,68.146783,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,68.146783,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,68.146783,50.000000,5.000000,20.000000,61.129357,high,high,1,investigate_specification_failure,measurement is outside specification limits
QC-000004-1,2026-01-01 06:00:00+00:00,PLANT-02,LINE-02-02,MACH-02-02-01,BATCH-PO-20260101-LINE0202-1,PROD-005,surface_finish_ra,20,2,-1.693000,0.200000,1.600000,fail,surface_finish,high,2026-01-01,LINE-02-02,ra,0.900000,1.400000,-1.893000,3.293000,1.352143,False,True,False,False,False,below_lower_limit,135.214286,fail,fail,True,0.100000,PE-000004,2026-01-01 06:00:00+00:00,101,101,0,40.880000,42,0,running,1.000000,1.000000,accepted_quantity_over_produced_quantity_proxy,0.000000,0.973333,0,,,,,,False,expanding_prior_observations,insufficient_history,,False,,insufficient_history,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.091221,39.469406,True,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,True,39.469406,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,39.469406,85.000000,10.000000,20.000000,60.643881,high,high,1,investigate_specification_failure,measurement is outside specification limits; deterministic anomaly score exceeded configured threshold
QC-000148-1,2026-01-13 06:00:00+00:00,PLANT-02,LINE-02-02,MACH-02-02-01,BATCH-PO-20260113-LINE0202-1,PROD-001,surface_finish_ra,20,1,-0.349000,0.200000,1.600000,fail,surface_finish,medium,2026-01-13,LINE-02-02,ra,0.900000,1.400000,-0.549000,1.949000,0.392143,False,True,False,False,False,below_lower_limit,39.214286,fail,fail,True,0.050000,PE-000148,2026-01-13 06:00:00+00:00,93,88,5,48.310000,48,25,degraded,0.946237,0.946237,accepted_quantity_over_produced_quantity_proxy,0.053763,1.006458,24,0.725250,0.667351,2.727303,-1.276803,-1.074250,False,expanding_prior_observations,calculated,,False,,calculated,-2.207882,2.207882,3.500000,False,calculated,63.082347,-0.077374,33.477929,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,63.082347,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,63.082347,50.000000,5.000000,100.000000,60.116469,high,high,1,investigate_specification_failure,measurement is outside specification limits
