quality_run_id,alert_id,inspection_id,inspection_timestamp,plant_id,production_line_id,machine_id,batch_id,product_id,quality_metric,measurement_unit,measured_value,lower_specification_limit,upper_specification_limit,source_inspection_result,calculated_specification_result,specification_consistency_flag,near_limit_flag,spc_rule_codes,robust_zscore,isolation_forest_score,anomaly_flags,defect_category,severity,quality_risk_score,risk_level,recommended_action,recommendation_reason,investigation_context,synthetic_data_flag
QUALITY-ea15caf8c05763b0,QA-a663dccf9547,QC-000153-1,2026-01-13 14:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,BATCH-PO-20260113-LINE0201-2,PROD-006,diameter_mm,mm,12.443000,9.500000,10.500000,fail,fail,True,False,SPC_RULE_1,5.125781,0.006011,robust_zscore;isolation_forest,dimensional_variance,high,97.750000,critical,investigate_specification_failure,measurement is outside specification limits; SPC rules triggered: SPC_RULE_1; deterministic anomaly score exceeded configured threshold,product_failure_count=7; machine_failure_count=9; batch_check_count=1; recurring_defect_category=dimensional_variance; context_is_investigative_not_causal; recent_production_downtime_present,True
QUALITY-ea15caf8c05763b0,QA-72ef5bfe44cd,QC-000138-1,2026-01-12 06:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,BATCH-PO-20260112-LINE0302-1,PROD-006,diameter_mm,mm,7.901000,9.500000,10.500000,fail,fail,True,False,SPC_RULE_1,-3.334114,0.079723,isolation_forest,dimensional_variance,high,96.802079,critical,investigate_specification_failure,measurement is outside specification limits; SPC rules triggered: SPC_RULE_1; deterministic anomaly score exceeded configured threshold,product_failure_count=7; machine_failure_count=10; batch_check_count=1; recurring_defect_category=dimensional_variance; context_is_investigative_not_causal; recent_production_downtime_present,True
QUALITY-ea15caf8c05763b0,QA-f3ca90468514,QC-000103-1,2026-01-09 14:00:00+00:00,PLANT-01,LINE-01-01,MACH-01-01-01,BATCH-PO-20260109-LINE0101-2,PROD-008,surface_finish_ra,ra,2.428000,0.200000,1.600000,fail,fail,True,False,SPC_RULE_1,0.000000,0.096442,isolation_forest,surface_finish,high,86.028226,critical,investigate_specification_failure,measurement is outside specification limits; SPC rules triggered: SPC_RULE_1; deterministic anomaly score exceeded configured threshold,product_failure_count=5; machine_failure_count=2; batch_check_count=1; recurring_defect_category=surface_finish; context_is_investigative_not_causal; recent_production_downtime_present,True
QUALITY-ea15caf8c05763b0,QA-ef72834dc638,QC-000066-1,2026-01-06 06:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,BATCH-PO-20260106-LINE0302-1,PROD-008,diameter_mm,mm,11.725000,9.500000,10.500000,fail,fail,True,False,SPC_RULE_1,0.000000,0.029664,isolation_forest,dimensional_variance,high,80.863024,critical,investigate_specification_failure,measurement is outside specification limits; SPC rules triggered: SPC_RULE_1; deterministic anomaly score exceeded configured threshold,product_failure_count=5; machine_failure_count=10; batch_check_count=1; recurring_defect_category=dimensional_variance; context_is_investigative_not_causal; recent_production_downtime_present,True
QUALITY-ea15caf8c05763b0,QA-9be4d73d155a,QC-000123-1,2026-01-11 06:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,BATCH-PO-20260111-LINE0201-1,PROD-006,diameter_mm,mm,8.274000,9.500000,10.500000,fail,fail,True,False,,-3.962114,-0.011164,robust_zscore,dimensional_variance,high,72.750000,high,investigate_specification_failure,measurement is outside specification limits; deterministic anomaly score exceeded configured threshold,product_failure_count=7; machine_failure_count=9; batch_check_count=1; recurring_defect_category=dimensional_variance; context_is_investigative_not_causal; recent_production_downtime_present,True
QUALITY-ea15caf8c05763b0,QA-f5e280f3a6ca,QC-000006-1,2026-01-01 06:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,BATCH-PO-20260101-LINE0302-1,PROD-007,diameter_mm,mm,9.451000,9.500000,10.500000,fail,fail,True,False,,0.000000,-0.132324,,dimensional_variance,medium,61.386396,high,investigate_specification_failure,measurement is outside specification limits,product_failure_count=5; machine_failure_count=10; batch_check_count=1; recurring_defect_category=dimensional_variance; context_is_investigative_not_causal; recent_production_downtime_present,True
QUALITY-ea15caf8c05763b0,QA-ec7a3ab54606,QC-000042-1,2026-01-04 06:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,BATCH-PO-20260104-LINE0302-1,PROD-006,diameter_mm,mm,10.573000,9.500000,10.500000,fail,fail,True,False,,0.000000,-0.129982,,dimensional_variance,medium,61.140575,high,investigate_specification_failure,measurement is outside specification limits,product_failure_count=7; machine_failure_count=10; batch_check_count=1; recurring_defect_category=dimensional_variance; context_is_investigative_not_causal; recent_production_downtime_present,True
QUALITY-ea15caf8c05763b0,QA-ad72156949e7,QC-000021-1,2026-01-02 14:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,BATCH-PO-20260102-LINE0201-2,PROD-007,diameter_mm,mm,9.490000,9.500000,10.500000,fail,fail,True,False,,0.000000,-0.174005,,dimensional_variance,medium,61.129357,high,investigate_specification_failure,measurement is outside specification limits,product_failure_count=5; machine_failure_count=9; batch_check_count=1; recurring_defect_category=dimensional_variance; context_is_investigative_not_causal,True
QUALITY-ea15caf8c05763b0,QA-df71a7c72b24,QC-000004-1,2026-01-01 06:00:00+00:00,PLANT-02,LINE-02-02,MACH-02-02-01,BATCH-PO-20260101-LINE0202-1,PROD-005,surface_finish_ra,ra,-1.693000,0.200000,1.600000,fail,fail,True,False,,0.000000,0.091221,isolation_forest,surface_finish,high,60.643881,high,investigate_specification_failure,measurement is outside specification limits; deterministic anomaly score exceeded configured threshold,product_failure_count=3; machine_failure_count=5; batch_check_count=1; recurring_defect_category=surface_finish; context_is_investigative_not_causal,True
QUALITY-ea15caf8c05763b0,QA-74efdf2c0c28,QC-000148-1,2026-01-13 06:00:00+00:00,PLANT-02,LINE-02-02,MACH-02-02-01,BATCH-PO-20260113-LINE0202-1,PROD-001,surface_finish_ra,ra,-0.349000,0.200000,1.600000,fail,fail,True,False,,-2.207882,-0.077374,,surface_finish,medium,60.116469,high,investigate_specification_failure,measurement is outside specification limits,product_failure_count=1; machine_failure_count=5; batch_check_count=1; recurring_defect_category=surface_finish; context_is_investigative_not_causal; recent_production_downtime_present,True
